id1,id2,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30,Y31,Y32,Y33,Y34,Y35,Y36,Y37,Y38,Y39
BB00096SALM02.jpg,BB00096SALM02.jpg,6.0,8.0,-5.0,8.0,-3.0,8.0,0.0,37.0,12.0,11.0,3.0,23.0,-1.0,-14.0,4.0,-2.0,-1.0,35.0,9.0,22.0,74.0,-9.0,8.0,7.0,6.0,2.0,7.0,-13.0,-3.0,-1.0,6.0,10.0,-7.0,8.0,-6.0,-16.0,-16.0,18.0,0.0,90.0,-5.0,-11.0,1.0,1.0,-4.0,4.0,-1.0,-11.0,1.0,10.0,5.0,4.0,0.0,1.0,4.0,-6.0,-6.0,2.0,13.0,11.0,7.0,-9.0,6.0,-13.0,-4.0,16.0,-18.0,3.0,-3.0,1.0,4.0,15.0,-2.0,12.0,-28.0,2.0,5.0,-19.0,-15.0,9.0
BB00096SALM03.jpg,BB00096SALM03.jpg,3.0,23.0,19.0,4.0,-8.0,-8.0,0.0,-15.0,61.0,14.0,8.0,6.0,-5.0,7.0,7.0,-27.0,61.0,4.0,-10.0,-21.0,8.0,-26.0,-3.0,8.0,-17.0,16.0,21.0,-3.0,-3.0,-26.0,0.0,9.0,-14.0,-11.0,-31.0,3.0,6.0,-8.0,-52.0,46.0,-4.0,-6.0,1.0,4.0,-1.0,6.0,7.0,4.0,2.0,-3.0,-4.0,7.0,6.0,-26.0,-2.0,16.0,-4.0,11.0,-8.0,-8.0,-17.0,-28.0,1.0,-12.0,-16.0,-3.0,-35.0,-11.0,5.0,-1.0,-4.0,-49.0,-25.0,-122.0,-101.0,4.0,-2.0,7.0,11.0,8.0
BB00096SALM04.jpg,BB00096SALM04.jpg,-9.0,0.0,4.0,-2.0,-6.0,-5.0,9.0,-5.0,-8.0,16.0,15.0,-5.0,0.0,21.0,-7.0,-30.0,-1.0,116.0,6.0,35.0,5.0,4.0,-1.0,-2.0,3.0,9.0,-6.0,16.0,7.0,-30.0,-7.0,-7.0,-5.0,7.0,-87.0,3.0,0.0,-11.0,-28.0,12.0,-1.0,1.0,-7.0,-5.0,5.0,-5.0,-11.0,1.0,-5.0,-9.0,-9.0,2.0,0.0,8.0,-4.0,7.0,2.0,-18.0,17.0,24.0,-14.0,-1.0,9.0,4.0,13.0,6.0,11.0,-77.0,-9.0,-14.0,0.0,-26.0,-2.0,-8.0,-140.0,0.0,-4.0,1.0,-8.0,0.0
BB00096SALM07.jpg,BB00096SALM07.jpg,1.0,0.0,-1.0,-3.0,3.0,4.0,5.0,-1.0,11.0,-5.0,4.0,-21.0,5.0,-7.0,5.0,5.0,-25.0,7.0,14.0,-35.0,6.0,22.0,-10.0,2.0,5.0,-14.0,2.0,0.0,4.0,-5.0,2.0,7.0,-12.0,-28.0,2.0,-9.0,-11.0,34.0,48.0,13.0,-1.0,-2.0,3.0,-1.0,3.0,2.0,12.0,-9.0,-1.0,4.0,-2.0,-4.0,-3.0,-4.0,1.0,-5.0,-2.0,-3.0,15.0,-11.0,-1.0,13.0,-14.0,0.0,1.0,-7.0,-12.0,-35.0,-7.0,3.0,0.0,1.0,-2.0,4.0,76.0,-1.0,-2.0,-4.0,14.0,9.0
BB00096SALM08.jpg,BB00096SALM08.jpg,7.0,0.0,6.0,12.0,0.0,8.0,-8.0,12.0,5.0,7.0,-11.0,-14.0,17.0,-10.0,18.0,-30.0,-1.0,1.0,-1.0,-14.0,2.0,-27.0,-4.0,3.0,4.0,-16.0,-7.0,9.0,-5.0,-19.0,13.0,-5.0,-7.0,49.0,29.0,-4.0,-2.0,-13.0,6.0,-12.0,-12.0,5.0,-3.0,-3.0,5.0,-8.0,-4.0,-6.0,-3.0,3.0,-2.0,-6.0,-8.0,4.0,4.0,2.0,-11.0,8.0,-10.0,-6.0,2.0,-3.0,-11.0,-18.0,1.0,-13.0,-11.0,7.0,-14.0,-2.0,2.0,-8.0,1.0,-5.0,29.0,-2.0,-1.0,2.0,6.0,-2.0
BB00096SALM09.jpg,BB00096SALM09.jpg,7.0,10.0,13.0,5.0,-2.0,1.0,-4.0,8.0,4.0,2.0,0.0,-9.0,19.0,-32.0,18.0,-17.0,-20.0,-3.0,44.0,37.0,6.0,6.0,-2.0,-3.0,0.0,-22.0,-13.0,5.0,3.0,-21.0,17.0,14.0,-11.0,0.0,-32.0,5.0,-4.0,47.0,63.0,16.0,-6.0,-10.0,-6.0,-5.0,0.0,-6.0,-9.0,-3.0,0.0,2.0,3.0,0.0,-8.0,-2.0,0.0,2.0,1.0,-11.0,19.0,10.0,16.0,2.0,-25.0,6.0,8.0,7.0,-2.0,6.0,-6.0,3.0,-3.0,-30.0,1.0,22.0,24.0,2.0,0.0,-25.0,-19.0,-7.0
BB00096SALM10.jpg,BB00096SALM10.jpg,-1.0,-8.0,-3.0,-17.0,5.0,2.0,10.0,-5.0,-28.0,6.0,6.0,-1.0,-1.0,42.0,-3.0,8.0,33.0,3.0,-40.0,-20.0,-11.0,-1.0,-4.0,4.0,16.0,15.0,-15.0,-43.0,5.0,16.0,2.0,15.0,45.0,-150.0,-109.0,-80.0,-2.0,47.0,10.0,-113.0,24.0,6.0,7.0,12.0,4.0,9.0,2.0,2.0,5.0,0.0,4.0,5.0,8.0,-11.0,-1.0,-5.0,-16.0,-10.0,-25.0,-19.0,-10.0,-11.0,-11.0,-26.0,6.0,-20.0,-2.0,-46.0,1.0,-7.0,-7.0,26.0,-4.0,46.0,-142.0,-15.0,-3.0,-35.0,10.0,-1.0
BB00096SALM11.jpg,BB00096SALM11.jpg,1.0,0.0,-10.0,-1.0,-24.0,3.0,-1.0,4.0,7.0,2.0,16.0,3.0,13.0,-8.0,-2.0,-4.0,8.0,12.0,-14.0,2.0,15.0,19.0,3.0,-5.0,3.0,-9.0,-1.0,-35.0,13.0,2.0,-2.0,-5.0,28.0,-6.0,1.0,-2.0,2.0,-4.0,5.0,-44.0,-6.0,-5.0,2.0,-11.0,13.0,-3.0,8.0,-4.0,13.0,15.0,-5.0,1.0,-6.0,1.0,0.0,2.0,-2.0,6.0,7.0,-2.0,11.0,8.0,-23.0,1.0,-3.0,-7.0,-20.0,-25.0,-14.0,-14.0,-5.0,-61.0,14.0,19.0,26.0,-2.0,0.0,11.0,-21.0,6.0
BB00096SALM12.jpg,BB00096SALM12.jpg,6.0,4.0,5.0,1.0,-2.0,-16.0,-5.0,7.0,37.0,27.0,-7.0,-3.0,-19.0,5.0,-14.0,-1.0,14.0,-32.0,10.0,9.0,36.0,-6.0,1.0,1.0,5.0,0.0,1.0,23.0,-1.0,7.0,-14.0,1.0,-8.0,26.0,34.0,15.0,16.0,-5.0,-20.0,10.0,3.0,2.0,-3.0,-4.0,-1.0,-8.0,-27.0,6.0,-7.0,5.0,7.0,1.0,7.0,7.0,-1.0,1.0,3.0,-4.0,0.0,-17.0,-2.0,-11.0,-17.0,-13.0,-2.0,-32.0,-3.0,42.0,-11.0,1.0,-3.0,1.0,-4.0,59.0,76.0,1.0,1.0,16.0,-8.0,-5.0
BB00096SALM13.jpg,BB00096SALM13.jpg,-7.0,-11.0,0.0,-28.0,-4.0,-21.0,-3.0,7.0,8.0,8.0,-1.0,-5.0,-5.0,15.0,-3.0,-2.0,-4.0,7.0,13.0,3.0,6.0,9.0,19.0,0.0,-5.0,-18.0,-21.0,-14.0,4.0,-1.0,-2.0,-3.0,-1.0,39.0,26.0,-11.0,-13.0,21.0,-17.0,14.0,12.0,11.0,2.0,-14.0,-33.0,-14.0,-1.0,-1.0,4.0,9.0,5.0,7.0,4.0,1.0,-1.0,-7.0,1.0,11.0,9.0,5.0,5.0,0.0,8.0,-10.0,-13.0,15.0,-5.0,-15.0,-13.0,-9.0,2.0,-99.0,5.0,1.0,31.0,3.0,3.0,14.0,-14.0,-11.0
