"id","X1","Y1","X2","Y2","X3","Y3","X4","Y4","X5","Y5","X6","Y6","X7","Y7","X8","Y8","X9","Y9","X10","Y10","X11","Y11","X12","Y12","X13","Y13","X14","Y14","X15","Y15","X16","Y16","X17","Y17","X18","Y18","X19","Y19","X20","Y20","X21","Y21","X22","Y22","X23","Y23","X24","Y24","X25","Y25","X26","Y26","X27","Y27","X28","Y28","X29","Y29","X30","Y30","X31","Y31","X32","Y32","X33","Y33","X34","Y34","X35","Y35","X36","Y36","X37","Y37","X38","Y38","X39","Y39","X40","Y40"
"BB00096SALM02.jpg",1569.3334,1914.6666,1582,1896,1618.6666,1870.6666,1718.6666,1836.6666,1956,1700,1792,1833.3334,2097.3333,1833.3334,2270.6667,1646.6666,2740,1614.6666,2997.3333,1625.3334,3471,1670,4158,1759,4529.6665,1743.6666,4700.3335,1771,4560.3335,1863,4232.3335,1976.3334,3787,2175,3218,2264.3333,2884.6667,2223,2686,2208.3333,2178,2181.6667,1756,2103.6667,1740,2018.3334,2131,2112,2238,1856,2254,2082,2425,1899,2948,1959,3474,1887,4223,1868,4544,1801.3334,2478.6667,1933,1954.6666,2123.6667,2762.3333,1460.3334,3129.6667,1485,4501.6665,1758.6666,4532.3335,1864,2862,2207,2613,1730,3021,1806
"BB00096SALM07.jpg",1797,1701.5,1816.5,1669.5,1841,1655,1953,1628.3334,2171,1492.6666,2017.6666,1631,2300.3333,1639,2483,1451,2899,1404.3334,3215,1385,3658,1396,4389,1540,4737.5,1581.5,4879,1644,4726.5,1696.5,4383,1737.3334,3955,1905.3334,3365.6667,2076,3040.6667,2018.6666,2895,1999,2443,1964,1966,1868,1971,1816,2347,1897,2427,1655,2458,1906,2609,1674,3112,1823,3662,1600.3334,4391.3335,1632.3334,4736.5,1638,2666,1709.6666,2170,1924,2960.5,1243,3342,1197,4710,1586,4711.3335,1692,3021,1998,2737,1501,3293,1534
"BB00096SALM08.jpg",1856.3334,2001,1876,1953,1918,1941,2054.5,1912,2332,1739,2151,1920,2503,1934,2705,1699,3150,1668,3436,1680,3917.6667,1730.6666,4660,1955,4970.6665,2008,5152,2075.6667,4958.6665,2144,4662,2181.3333,4083.3333,2311.3333,3729,2283,3353,2334,3183,2319,2671,2305,2112,2211,2084,2128,2535,2257.6667,2651,1952,2685,2242,2875,1987,3365,2011,3908,1982,4659.3335,2073.6667,4968.6665,2075.3333,2931.6667,2033.6666,2333.6667,2258.6667,3137,1462,3552,1465,4938.5,2010.5,4934.5,2139.5,3339.6667,2267.3333,2982,1777,3524,1883
"BB00096SALM09.jpg",1750,1997.3334,1765.6666,1977,1791,1958.6666,1907,1918,2143.3333,1763.3334,1984,1915.3334,2292,1899.3334,2476.6667,1725.6666,2900.3333,1706.3334,3152.3333,1695.6666,3575,1680,4319,1726.3334,4659,1717.5,4858.6665,1755.3334,4673,1835.5,4402.6665,1915.3334,3939.6667,2154.3333,3454.3333,2296.6667,3046.6667,2295,2856,2284.3333,2402.6667,2265.6667,1934.3334,2179.6667,1932.6666,2124.3333,2318.6667,2170.6667,2427.3333,1907.6666,2449.5,2165.5,2622,1949.5,3080,2026,3581,1886.3334,4398.3335,1809.6666,4667.5,1772.5,2653.6667,2015.6666,2128.6667,2230.3333,2936,1526,3286.5,1494,4632.5,1723.5,4648,1832,3028.3333,2281.3333,2718,1811,3247,1850
"BB00096SALM11.jpg",1741.5,1652.5,1755,1622,1814,1599.5,1919.5,1615,2131,1496,1967,1622,2214,1656,2377,1511,2677,1516.3334,2875,1538,3221,1568,3782,1643,4044.5,1663,4174.3335,1704.3334,4049.5,1765,3779.6667,1829.6666,3385.6667,1948.3334,3055,1951,2813,1969,2688,1977,2295,1947.3334,1887.3334,1832.6666,1888.6666,1793.3334,2214.5,1899.5,2318,1697.3334,2297.3333,1906.3334,2472,1757.6666,2851,1821,3214,1758,3772.3333,1754,4049.5,1721,2514.6667,1754.3334,2054,1903.6666,2713,1362.6666,2997.6667,1371.3334,4034.3333,1667.3334,4038.3333,1764.6666,2802,1934.6666,2565,1637,2958,1691
"BB00096SALM12.jpg",878,1137,896.6667,1106.3334,929.3333,1099,1049,1060,1293,902,1138,1060,1458,1060,1701,840,2075,830,2352.3333,820,2841.6667,812,3620,880.6667,4053,897,4192,954,4046,1027,3628,1115.3334,3176,1296.6666,2687,1420,2293,1451.6666,2095,1439,1596,1435,1084.6666,1344.3334,1067,1257,1488.5,1342.5,1602.5,1058,1614,1344.6666,1808.6666,1081.3334,2301,1073,2847.3333,1020.3333,3620.6667,981.3333,4049,964,1872.6666,1131.3334,1293,1393,2104.3333,627.3333,2469,603.6667,3977.6667,910,3979.6667,1019,2288.6667,1371.6666,2011,928,2485,977
"BB00096SALM13.jpg",1982.5,1519,1995.5,1502.5,2019.5,1490.5,2146,1506,2324.6667,1388.3334,2206,1512,2446,1539,2547,1364,2984,1343,3157,1338,3564,1325,4192.6665,1328.3334,4509.5,1289,4627,1315.3334,4535,1395,4200,1523,3870,1700.3334,3348.6667,1873.6666,3098.6667,1880.6666,2937,1862,2549,1806,2144,1706,2120.3333,1639,2464,1769.6666,2559,1569.6666,2579.6667,1753.6666,2732.3333,1605.6666,3124.3333,1727,3569.6667,1532.3334,4192,1441,4523.5,1344.5,2751,1629.3334,2308,1752.6666,3089,1311,3280,1204,4489,1302,4517.5,1395.5,3078.3333,1853.3334,2854,1473,3252,1506
"BB00096SALM14.jpg",959.9999,1994.5,968.6666,1971.1666,997.9999,1947.1666,1085,1929.5,1247.6666,1798.1666,1134,1934.5,1379,1938.5,1484,1754.5,1899.6666,1713.1666,2091.6667,1702.5,2492.6667,1726.5,3024.6667,1815.8334,3328.3333,1805,3452.5002,1830,3352.6667,1900.3334,3024.0002,2007.5,2702.0002,2135.5,2267.6667,2251.5,2030.3334,2253.5,1865,2239.5,1481,2200.833,1135.3334,2129.833,1094,2079.1665,1414,2144.5,1482.5,1937.5,1535,2110.833,1642.3334,1972.8334,2018,2086.833,2481.0002,1933.5,3021.0002,1927.1666,3343.6667,1857,1673,1999.5,1252,2143.5,1951.5,1577,2293.5002,1675.5,3317.0002,1813.5,3339.0002,1903.5,2027.3334,2207.833,1784,1822.5,2225.3333,1888.6666
"BB00096SALM15.jpg",1658.6666,1738.3334,1669.3334,1715,1692.6666,1708.3334,1774.6666,1681,1945,1564.3334,1834,1675,2054,1668,2142,1512,2528,1468,2734.6667,1449.3334,3117.3333,1440,3602,1510,3952,1502.6666,4061.5,1525,3979.3333,1599.3334,3711.6667,1670.6666,3379.6667,1818.6666,3000,1869,2703,1897.3334,2567.6667,1906,2177,1917.5,1818,1877.3334,1774.5,1797.5,2098,1875.6666,2158.6667,1629,2202.6667,1840.3334,2314.6667,1677,2701,1669,3118,1592,3711,1592,3964,1549,2356,1705,1962,1891,2503.3333,1342.6666,2838.6667,1326.6666,3923.5,1519.5,3943.5,1600,2702,1853,2435.3333,1552.3334,2826,1566.6666
"BB00096SALM16.jpg",1552.3334,1287.3334,1565.3334,1273,1594.3334,1257.3334,1695,1234,1927,1085,1775,1233,2077,1238,2261,1017,2740,966,3031,960,3519,971,4170,1128,4611,1176.5,4752,1241,4604.5,1300.5,4149,1391,3780,1537,3298,1603,2913.6667,1587,2676.3333,1566.3334,2238.3333,1565,1719,1486.6666,1711.5,1399.5,2093,1494.6666,2203,1243,2210,1498,2390,1247.5,2936,1311.6666,3519.3333,1197.3334,4137,1246,4610,1237,2446.3333,1300,1922,1523.3334,2792.3333,782,3293.6667,921,4574.6665,1183,4576,1294.3334,2883,1552,2692,1075,3084,1129
"BB00096SALM17.jpg",1278.3334,1797.3334,1294.3334,1756.6666,1360.3334,1740,1511.6666,1714.6666,1778,1553,1606,1721,1962,1717,2164,1505,2602,1469,2930,1488,3394,1493,4212.6665,1694.6666,4603,1721,4781,1784,4601,1873,4246,1940,3611,2123,3160,2131.6667,2812,2149,2646.6667,2150.3333,2105.3333,2142.6667,1481.3334,2024,1503,1936,1974,2059,2088,1743.6666,2103,2040,2335,1798,2828,1891,3402,1782,4255,1828,4605,1807,2394,1803.6666,1744.6666,2105.6667,2625,1283,3038,1313,4576.6665,1728,4580.6665,1872.6666,2808,2095,2442,1594,2996.6667,1699.3334
"BB00096SALM18.jpg",1144,1922,1154,1874,1207,1852,1347.6666,1798.3334,1610.3334,1629,1447.6666,1799.6666,1765,1798.3334,1993,1561,2410.3333,1515.6666,2683.6667,1514.3334,3109,1535,3772.6667,1750,4259.25,1866.5,4412,1949,4225,2014,3897,2039,3294.6667,2184.3333,2931,2169.3333,2620,2174,2453.3333,2154,1970.6666,2180.6667,1347,2100,1360,1994,1812,2095,1934.3334,1787.6666,1990.3334,2055,2170.3333,1826.3334,2622,1885,3114,1797,3894.3333,1918.3334,4246,1941,2199,1901.3334,1583,2143,2447,1277,2831.5,1290,4222.5,1872.5,4202.5,2008.5,2616.3333,2061.3333,2251.3333,1611.6666,2827,1726
"BB00096SALM19.jpg",1723.0001,1939,1741.0001,1905,1769.0001,1894,1885.0001,1856,2152.6667,1709,1978.0001,1861,2331.3333,1846.3334,2427,1692,3012.3333,1653.3334,3289.6667,1649.3334,3842,1633,4621,1736,4990,1758,5170,1812,4989,1885,4579,1946,4118,2143,3533,2273,3181,2289,2949,2244,2429,2235,1918.3334,2112.6667,1907.6666,2020,2317,2123,2453.3333,1859,2429,2121,2638,1906.3334,3177,1952,3851.3333,1819.3334,4574,1817,4991.5,1824.5,2696.6667,1947,2128.6667,2183,3076.6667,1480,3429.3333,1496,4944,1768.5,4947,1881.5,3158,2232,2860.6667,1723.6666,3381,1776
